Run,SpecifySystem,DeploySystem,DesignHardware,PrototypeHardware,TestHardware,ManufactureHardware,DesignSoftware,ImproveSoftware,ReleaseSoftware,DesignDocumentation,DesignTraining,PrepareCertification,TrainOperators,FinalizeCertification,Total duration at mid_gate,Total duration,Label
52,8.1,5.6,9.9,5.8,1.6,9.5,16.2,8.5,9.1,4.2,4.7,8.9,6.9,11.3,59.43,110.35,0
759,6.7,4.9,8.7,4.5,1.4,8.7,13.4,8.1,8.0,4.8,4.3,7.1,6.4,10.6,51.01,97.78,0
114,7.7,5.8,10.4,6.3,2.2,9.5,15.5,9.2,8.9,5.0,4.8,10.3,7.3,16.9,62.17,119.87,0
107,8.3,6.9,9.7,6.0,1.8,9.8,13.3,9.4,9.1,6.3,5.2,8.6,7.5,18.4,59.29,120.28,1
987,7.4,4.7,9.3,5.5,1.4,9.6,12.6,8.8,8.3,5.6,4.8,7.7,6.7,12.8,54.21,105.05,0
217,8.2,6.3,10.7,7.6,1.9,10.8,18.8,8.9,8.9,5.5,4.8,6.5,7.3,19.3,64.01,125.62,1
252,9.0,6.8,11.1,6.4,1.6,11.0,18.3,8.9,8.8,6.3,5.1,10.1,7.2,14.7,67.87,125.44,1
615,7.6,5.2,9.0,5.7,1.7,9.4,14.0,8.5,8.7,5.5,4.5,7.2,6.7,13.7,55.2,107.43,0
631,7.9,6.2,10.2,4.8,1.5,10.1,16.4,9.1,9.0,5.8,5.1,7.3,6.2,14.0,58.96,113.68,0
417,6.8,4.8,9.3,5.4,1.6,9.3,14.0,8.2,8.3,4.6,4.6,7.7,6.7,13.5,53.89,104.67,0
832,8.9,5.0,9.6,7.0,2.1,10.5,17.1,9.6,9.2,7.0,5.6,10.7,6.9,13.6,68.02,122.92,1
935,9.7,6.5,11.4,4.4,2.8,10.3,19.5,8.5,9.3,7.7,5.2,11.4,7.7,11.7,72.14,126.13,1
444,7.9,5.3,8.9,6.9,2.7,9.1,14.9,9.9,9.9,7.6,4.3,8.5,6.3,16.4,61.85,118.81,0
179,6.5,5.6,10.0,6.0,1.9,9.6,16.2,8.8,8.4,5.7,4.5,9.0,6.9,13.3,59.69,112.32,0
746,8.2,4.6,10.0,6.4,1.4,9.7,15.8,8.6,8.4,6.5,4.8,9.2,6.6,16.1,62.29,116.31,0
202,8.7,4.4,9.7,5.9,1.6,10.9,17.9,9.5,8.4,5.7,5.1,10.2,7.1,16.2,64.75,121.22,1
736,6.3,4.2,8.5,4.1,1.3,8.5,13.2,8.1,8.3,4.5,4.3,6.9,6.3,11.4,49.16,95.92,0
517,8.5,6.4,10.8,6.6,1.6,9.2,16.6,9.1,8.9,6.5,5.5,9.5,7.0,16.5,65.61,122.71,1
616,7.2,5.9,9.7,5.5,1.2,9.4,15.2,8.6,8.6,4.3,5.0,7.4,6.7,13.3,55.63,108.13,0
54,7.3,6.6,10.1,6.4,2.2,10.2,15.9,9.1,9.1,5.6,5.1,7.0,7.1,13.9,59.55,115.5,0
549,7.0,5.1,8.1,4.9,1.2,9.1,13.9,8.4,8.3,4.4,4.5,7.4,6.5,11.2,51.28,99.86,0
795,8.0,5.8,9.5,6.7,1.7,10.8,15.1,8.9,9.0,5.4,5.2,9.8,7.5,17.2,61.43,120.62,1
943,6.3,4.4,8.6,4.4,1.3,8.8,13.2,8.4,8.3,4.8,4.4,6.8,6.4,11.7,49.85,97.86,0
633,8.6,5.9,11.6,7.5,1.8,11.5,17.9,9.2,9.1,5.5,5.2,11.1,7.6,16.5,69.26,129.12,1
660,6.7,5.5,9.2,5.1,1.8,10.3,16.1,9.2,9.0,6.0,4.3,9.6,7.0,14.7,58.78,114.31,0
443,7.1,4.7,9.7,4.3,1.7,8.9,15.1,8.6,8.7,4.8,4.1,8.6,6.7,11.0,55.42,104.04,0
43,6.9,5.3,8.1,4.7,1.3,8.9,13.7,8.4,8.6,5.2,4.4,6.3,6.5,12.3,50.53,100.49,0
438,7.7,5.2,8.8,5.9,2.2,9.4,15.8,9.2,8.7,6.3,5.0,9.9,6.9,12.3,61.56,113.25,0
826,7.1,5.2,8.5,4.3,1.4,8.7,14.3,8.6,8.0,4.5,4.5,6.5,6.6,12.2,50.97,100.24,0
836,8.0,5.4,9.4,6.7,1.4,10.3,13.0,9.6,9.3,6.8,4.6,10.0,6.8,13.7,59.87,114.96,0
366,7.6,5.4,9.8,7.2,1.7,8.8,18.2,9.1,9.3,7.1,4.4,10.7,6.9,17.7,66.84,123.95,1
904,7.2,5.4,10.8,5.9,2.1,10.7,17.2,9.3,8.5,5.2,4.7,7.8,7.2,16.6,60.89,118.48,0
249,7.5,5.3,10.2,5.1,1.7,10.1,15.4,8.8,8.4,5.6,4.9,8.6,7.0,14.2,59.0,112.84,0
950,8.3,5.5,9.3,6.7,1.5,8.8,12.4,8.3,9.3,4.7,4.9,8.1,7.0,16.8,55.97,111.52,0
949,8.5,5.6,9.9,6.4,2.3,10.3,17.7,9.5,9.0,6.6,4.7,7.7,7.1,17.3,63.66,122.39,1
696,8.8,6.5,11.2,5.6,1.5,11.1,15.3,9.7,9.0,5.6,5.3,11.0,7.1,16.0,64.22,123.62,1
936,9.1,7.1,11.7,7.3,1.8,11.1,17.4,9.5,8.4,5.3,4.5,10.0,7.7,18.7,67.07,129.64,1
489,7.0,5.0,8.9,4.7,1.7,9.1,12.1,8.5,8.1,4.9,4.4,7.7,6.6,12.7,51.45,101.48,0
544,6.3,4.4,8.4,4.3,1.2,8.3,12.6,8.2,8.1,4.3,4.1,6.6,6.2,10.7,47.83,93.68,0
465,8.2,6.7,11.1,6.9,2.2,11.5,16.8,8.8,9.8,4.4,5.5,10.5,7.6,12.1,65.64,122.21,1
211,6.8,5.7,9.7,4.6,1.5,9.2,15.6,8.3,8.4,5.3,4.5,7.2,6.6,14.5,55.2,107.84,0
511,7.7,6.0,9.3,6.0,2.1,8.4,17.3,9.4,9.2,6.2,4.9,8.9,6.7,14.5,62.4,116.51,0
540,6.4,7.4,10.2,7.6,2.7,11.3,19.0,9.5,9.4,6.4,5.7,10.3,7.5,13.7,68.24,127.12,1
920,8.5,6.2,8.7,6.5,1.3,8.8,14.5,8.6,8.9,4.4,5.1,7.0,7.0,15.4,56.02,110.83,0
490,7.2,5.4,9.4,4.9,1.6,9.3,14.2,8.8,8.5,4.8,4.5,7.9,6.8,13.9,54.43,107.14,0
